182 Blueprint_Antenna, durability=1, stacksize=1
181 Blueprint_Reciever, durability=1, stacksize=1
1 Block_Floor_Wood, durability=1, stacksize=1
2 Block_Foundation_Wood, durability=1, stacksize=1
96 Block_FoundationArmor, durability=1, stacksize=1
143 Block_HalfFloor_Wood, durability=1, stacksize=1
146 Block_HalfPillar_Wood, durability=1, stacksize=1
145 Block_HalfStair_Wood, durability=1, stacksize=1
147 Block_HalfWall_Thatch, durability=1, stacksize=1
144 Block_HalfWall_Wood, durability=1, stacksize=1
184 Block_Ladder, durability=1, stacksize=5
84 Block_Pillar_Wood, durability=1, stacksize=1
151 Block_Roof_Corner_Thatch, durability=1, stacksize=1
150 Block_Roof_Corner_Wood, durability=1, stacksize=1
161 Block_Roof_InvCorner_Thatch, durability=1, stacksize=1
160 Block_Roof_InvCorner_Wood, durability=1, stacksize=1
149 Block_Roof_Straight_Thatch, durability=1, stacksize=1
148 Block_Roof_Straight_Wood, durability=1, stacksize=1
3 Block_Stair_Wood, durability=1, stacksize=1
89 Block_Wall_Door_Thatch, durability=1, stacksize=1
88 Block_Wall_Door_Wood, durability=1, stacksize=1
85 Block_Wall_Fence_Plank, durability=1, stacksize=1
86 Block_Wall_Fence_Rope, durability=1, stacksize=1
153 Block_Wall_Slope_Thatch, durability=1, stacksize=1
152 Block_Wall_Slope_Wood, durability=1, stacksize=1
59 Block_Wall_Thatch, durability=1, stacksize=1
83 Block_Wall_Window_Thatch, durability=1, stacksize=1
82 Block_Wall_Window_Wood, durability=1, stacksize=1
4 Block_Wall_Wood, durability=1, stacksize=1
9 Repair, durability=1, stacksize=1
64 AirBottle, durability=600, stacksize=1
63 Flipper, durability=600, stacksize=1
10 Coconut, durability=1, stacksize=20
11 Cooked_Beet, durability=1, stacksize=20
135 Cooked_Catfish, durability=3, stacksize=20
99 Cooked_Drumstick, durability=1, stacksize=20
136 Cooked_Herring, durability=1, stacksize=20
12 Cooked_Mackerel, durability=1, stacksize=20
134 Cooked_Pomfret, durability=1, stacksize=20
13 Cooked_Potato, durability=1, stacksize=20
133 Cooked_Salmon, durability=3, stacksize=20
14 Cooked_Shark, durability=1, stacksize=20
137 Cooked_Tilapia, durability=1, stacksize=20
97 Egg, durability=1, stacksize=20
164 Mango, durability=1, stacksize=20
165 Pineapple, durability=1, stacksize=20
79 PlasticBottle_Empty, durability=0, stacksize=1
80 PlasticBottle_SaltWater, durability=5, stacksize=1
81 PlasticBottle_Water, durability=5, stacksize=1
38 PlasticCup_Empty, durability=0, stacksize=1
40 PlasticCup_SaltWater, durability=1, stacksize=1
39 PlasticCup_Water, durability=1, stacksize=1
15 Raw_Beet, durability=1, stacksize=20
129 Raw_Catfish, durability=1, stacksize=20
98 Raw_Drumstick, durability=1, stacksize=20
131 Raw_Herring, durability=1, stacksize=20
16 Raw_Mackerel, durability=1, stacksize=20
132 Raw_Pomfret, durability=1, stacksize=20
17 Raw_Potato, durability=1, stacksize=20
130 Raw_Salmon, durability=1, stacksize=20
18 Raw_Shark, durability=1, stacksize=20
138 Raw_Tilapia, durability=1, stacksize=20
163 Watermelon, durability=2, stacksize=20
176 Battery, durability=50, stacksize=1
154 Bolt, durability=1, stacksize=20
73 Brick_Dry, durability=1, stacksize=20
178 CircuitBoard, durability=1, stacksize=20
65 Clay, durability=1, stacksize=20
108 Color_Black, durability=1, stacksize=600
105 Color_Blue, durability=1, stacksize=600
104 Color_Red, durability=1, stacksize=600
107 Color_White, durability=1, stacksize=600
106 Color_Yellow, durability=1, stacksize=600
177 CopperIngot, durability=1, stacksize=20
179 CopperOre, durability=1, stacksize=20
95 Feather, durability=1, stacksize=20
114 Flower_Black, durability=1, stacksize=50
117 Flower_Blue, durability=1, stacksize=50
115 Flower_Red, durability=1, stacksize=50
118 Flower_White, durability=1, stacksize=50
116 Flower_Yellow, durability=1, stacksize=50
67 Glass, durability=1, stacksize=20
155 Hinge, durability=1, stacksize=20
70 MetalIngot, durability=1, stacksize=20
19 MetalOre, durability=1, stacksize=20
20 Nail, durability=1, stacksize=20
21 Plank, durability=1, stacksize=20
53 Plastic, durability=1, stacksize=20
22 Rope, durability=1, stacksize=20
66 Sand, durability=1, stacksize=20
23 Scrap, durability=1, stacksize=20
24 SeaVine, durability=1, stacksize=20
127 SharkHead, durability=1, stacksize=5
50 Stone, durability=1, stacksize=20
25 Thatch, durability=1, stacksize=20
125 VineGoo, durability=1, stacksize=20
26 Barrel, durability=1, stacksize=1
27 DropItem, durability=1, stacksize=1
94 Placeable, durability=1, stacksize=0
6 Placeable_Anchor_Stationary, durability=1, stacksize=5
56 Placeable_Anchor_Throwable, durability=1, stacksize=5
92 Placeable_Bed_Hammock, durability=1, stacksize=5
93 Placeable_Bed_Simple, durability=1, stacksize=5
101 Placeable_BirdsNest, durability=1, stacksize=5
72 Placeable_Brick_Wet, durability=1, stacksize=20
171 Placeable_Calendar, durability=1, stacksize=5
157 Placeable_CandleBottle, durability=1, stacksize=5
7 Placeable_Chair, durability=1, stacksize=5
159 Placeable_Clock, durability=1, stacksize=5
43 Placeable_CookingStand_Food_One, durability=1, stacksize=5
77 Placeable_CookingStand_Food_Two, durability=1, stacksize=5
91 Placeable_CookingStand_Purifier_One, durability=1, stacksize=5
78 Placeable_CookingStand_Purifier_Two, durability=1, stacksize=5
71 Placeable_CookingStand_Smelter, durability=1, stacksize=5
46 Placeable_Cropplot_Large, durability=1, stacksize=5
162 Placeable_Cropplot_Medium, durability=1, stacksize=5
139 Placeable_Cropplot_Shoe, durability=1, stacksize=5
45 Placeable_Cropplot_Small, durability=1, stacksize=5
51 Placeable_GiantClam, durability=1, stacksize=5
8 Placeable_ItemNet, durability=1, stacksize=5
47 Placeable_Lantern, durability=1, stacksize=5
156 Placeable_LuckyCat, durability=1, stacksize=5
124 Placeable_PaintMill, durability=1, stacksize=5
173 Placeable_Reciever, durability=1, stacksize=5
175 Placeable_Reciever_Antenna, durability=1, stacksize=5
113 Placeable_ResearchTable, durability=1, stacksize=5
158 Placeable_Rug, durability=1, stacksize=5
126 Placeable_Sail, durability=1, stacksize=5
100 Placeable_Scarecrow, durability=1, stacksize=5
110 Placeable_ScrapMechanic, durability=1, stacksize=5
128 Placeable_SharkTrophy, durability=1, stacksize=5
187 Placeable_Shelf, durability=1, stacksize=5
172 Placeable_Sign, durability=1, stacksize=5
42 Placeable_Storage_Medium, durability=1, stacksize=5
140 Placeable_Storage_Small, durability=1, stacksize=5
142 Placeable_Streamer, durability=1, stacksize=5
48 Placeable_Table, durability=1, stacksize=5
119 Seed_Flower_Black, durability=1, stacksize=20
123 Seed_Flower_Blue, durability=1, stacksize=20
121 Seed_Flower_Red, durability=1, stacksize=20
120 Seed_Flower_White, durability=1, stacksize=20
122 Seed_Flower_Yellow, durability=1, stacksize=20
167 Seed_Mango, durability=1, stacksize=20
31 Seed_Palm, durability=1, stacksize=20
168 Seed_Pineapple, durability=1, stacksize=20
166 Seed_Watermelon, durability=1, stacksize=20
186 Arrow_Stone, durability=1, stacksize=30
32 Axe, durability=60, stacksize=1
183 BeachBall, durability=1, stacksize=1
170 Binoculars, durability=1, stacksize=1
185 Bow, durability=40, stacksize=1
33 FishingRod, durability=10, stacksize=1
169 FishingRod_Metal, durability=30, stacksize=1
34 Hammer, durability=1, stacksize=1
35 Hook_Plastic, durability=40, stacksize=1
36 Hook_Scrap, durability=100, stacksize=1
103 Paddle, durability=125, stacksize=1
109 PaintBrush, durability=1, stacksize=1
54 SharkBait, durability=1, stacksize=1
37 Spear_Scrap, durability=40, stacksize=1
52 Spear_Wood, durability=20, stacksize=1
57 ThrowableAnchor, durability=1, stacksize=1
